PERSON,GPE
alex salmond,scotland
alex salmond,scotland
chávez,venezuela
chávez,iran
correa,bolivia
correa,venezuela
correa,iran
evo morales,venezuela
evo morales,venezuela
evo morales,iran
hugo chávez,venezuela
hugo chávez,bolivia
evo morales,venezuela
evo morales,bolivia
alejandro landes 's,bolivia
evo morales,bolivia
evo morales,brazil
evo morales,brazil
evo morales,bolivia
chávez,bolivia
chávez,bolivia
evo morales,venezuela
evo morales,bolivia
fidel,bolivia
evo morales,cuba
chávez,bolivia
chávez,nicaragua
chávez,cuba
evo morales,bolivia
evo morales,cuba
daniel ortega,bolivia
fidel castro,bolivia
daniel ortega,cuba
evo morales,bolivia
evo morales,chile
rafael correa,ecuador
evo morales,ecuador
daniel ortega,ecuador
rafael correa,bolivia
rafael correa,nicaragua
evo morales,bolivia
evo morales,nicaragua
daniel ortega,bolivia
daniel ortega,nicaragua
jennifer botterill,canada
sami jo,canada
ben sisario,canada
andrew whiteman,canada
lucy caldwell,northern ireland
abbie spallen,ireland
abbie spallen,ireland
jacques chirac,iran
jacques chirac,lebanon
bernard kouchner,france
bernard kouchner,syria
nicolas sarkozy,syria
jacques chirac,iran
papon,france
nicolas sarkozy,france
ségolène royal,france
sarkozy,france
jacques chirac,iran
alexandre de marenches,france
alexandre de marenches,france
hussein,france
jacques chirac,france
hussein,france
jacques chirac,france
papon,france
queen sofía,france
jacques chirac,spain
ilham aliyev,spain
azerbaijan,spain
rostropovich,spain
bernadette chirac,france
rostropovich,france
nicolas sarkozy,france
caroline fourest,france
olivier assayas,france
sylvain chomet,france
walter salles,france
daniela thomas,france
isabel coixet,france
nobuhiro suwa,france
alfonso cuarón,france
tom tykwer,france
olivier assayas,brazil
olivier assayas,spain
olivier assayas,japan
olivier assayas,mexico
olivier assayas,germany
sylvain chomet,brazil
sylvain chomet,spain
sylvain chomet,japan
sylvain chomet,mexico
sylvain chomet,germany
walter salles,brazil
daniela thomas,brazil
isabel coixet,brazil
nobuhiro suwa,brazil
alfonso cuarón,brazil
tom tykwer,brazil
walter salles,spain
walter salles,japan
walter salles,mexico
walter salles,germany
daniela thomas,spain
daniela thomas,japan
daniela thomas,mexico
daniela thomas,germany
isabel coixet,spain
nobuhiro suwa,spain
alfonso cuarón,spain
tom tykwer,spain
nobuhiro suwa,japan
alfonso cuarón,japan
tom tykwer,japan
nobuhiro suwa,mexico
nobuhiro suwa,germany
alfonso cuarón,mexico
tom tykwer,mexico
alfonso cuarón,germany
tom tykwer,germany
amália rodrigues,portugal
gazprom,italy
paolo scaroni,italy
gazprom,russia
paolo scaroni,russia
henri troyat,france
meena,india
kosovo,finland
martti ahtisaari,finland
jhoom barabar jhoom,india
amitabh,france
amitabh,india
abhishek bachchan,france
abhishek bachchan,india
preity zinta,france
preity zinta,india
bobby deol,france
bobby deol,india
lara dutta,france
lara dutta,india
te kanawa,australia
jules verne 's,france
peter akinola,nigeria
virginia,nigeria
martyn minns,nigeria
peter akinola,nigeria
uganda,nigeria
rwanda,nigeria
gaël monfils,serbia
tomas berdych,serbia
andy murray,serbia
britain,serbia
rafael nadal,serbia
richard gasquet,france
richard gasquet,spain
gaël monfils,france
gaël monfils,spain
tomas berdych,france
rafael nadal,france
tomas berdych,spain
rafael nadal,spain
julian barnes,norway
britain,norway
sebastian barry,norway
peter hobbs,ireland
julian barnes,ireland
sebastian barry,ireland
charles de gaulle,france
fred zinnemann,france
frederick forsyth,france
trump,canada
kenneth whyte,canada
touraine,france
jean nouvel,france
the united states,germany
ernst myller,germany
rolf,germany
ulrich,germany
hanns eisler,germany
schoenberg,germany
margaret scobey,syria
rafik hariri,iran
patrick grandperret,france
alain chabat,france
garry kasparov,russia
garry kasparov,russia
garry kasparov,russia
garry kasparov,russia
vladimir v. putin,russia
sarah jamieson,australia
sarah jamieson,canada
monica hargrove,australia
jenn stuczynski,australia
chris lukezic,ukraine
chris lukezic,kenya
gabe jennings,ukraine
gabe jennings,kenya
rob myers,canada
rob myers,ukraine
rob myers,kenya
kevin sullivan,ukraine
kevin sullivan,kenya
nate brannen,canada
nate brannen,ukraine
nate brannen,kenya
ivan heshko,canada
elkanah angwenyi,canada
ivan heshko,ukraine
ivan heshko,kenya
elkanah angwenyi,ukraine
elkanah angwenyi,kenya
chávez,bolivia
chávez,nicaragua
chávez,cuba
evo morales,bolivia
evo morales,cuba
daniel ortega,bolivia
fidel castro,bolivia
daniel ortega,cuba
fidel castro,venezuela
chávez,venezuela
fidel castro,canada
chávez,canada
fidel castro,cuba
chávez,cuba
